"DataSet","RNA","SampleID","Count","UID"
11,8,1230,1875,8464
11,2,1230,406,8464
11,0.5,1230,66,8464
11,0.125,1230,41,8464
11,128,1231,26180,8465
11,32,1231,6602,8465
11,8,1231,2316,8465
11,2,1231,529,8465
11,0.5,1231,68,8465
11,0.125,1231,50,8465
11,128,1232,31604,8466
11,32,1232,9016,8466
11,8,1232,2701,8466
11,2,1232,556,8466
11,0.5,1232,106,8466
11,0.125,1232,54,8466
11,128,1233,32980,8467
11,32,1233,9282,8467
11,8,1233,2757,8467
11,2,1233,623,8467
11,0.5,1233,95,8467
11,0.125,1233,65,8467
11,128,1234,42608,8468
11,32,1234,11716,8468
11,8,1234,3541,8468
11,2,1234,806,8468
11,0.5,1234,144,8468
11,0.125,1234,69,8468
11,128,1235,79737,8469
11,32,1235,24187,8469
11,8,1235,6157,8469
11,2,1235,1359,8469
11,0.5,1235,280,8469
11,0.125,1235,156,8469
11,128,1236,74666,8470
11,32,1236,19390,8470
11,8,1236,5455,8470
11,2,1236,1246,8470
11,0.5,1236,270,8470
11,0.125,1236,88,8470
11,128,1237,54965,8471
11,32,1237,15893,8471
11,8,1237,3803,8471
11,2,1237,922,8471
11,0.5,1237,182,8471
11,0.125,1237,66,8471
11,128,1238,88421,8472
11,32,1238,25306,8472
11,8,1238,6798,8472
11,2,1238,1480,8472
11,0.5,1238,282,8472
11,0.125,1238,165,8472
11,128,1239,86074,8473
11,32,1239,24326,8473
11,8,1239,6668,8473
11,2,1239,1515,8473
11,0.5,1239,281,8473
11,0.125,1239,131,8473
11,128,1240,77427,8474
11,32,1240,22766,8474
11,8,1240,6324,8474
11,2,1240,1335,8474
11,0.5,1240,242,8474
11,0.125,1240,107,8474
11,128,1241,57262,8475
11,32,1241,16823,8475
11,8,1241,4754,8475
11,2,1241,980,8475
11,0.5,1241,181,8475
11,0.125,1241,69,8475
11,128,1242,92119,8476
11,32,1242,26469,8476
11,8,1242,7184,8476
11,2,1242,1587,8476
11,0.5,1242,270,8476
11,0.125,1242,127,8476
11,128,1243,42159,8477
11,32,1243,11481,8477
11,8,1243,3240,8477
11,2,1243,684,8477
11,0.5,1243,148,8477
11,0.125,1243,80,8477
11,128,1244,19810,8478
11,32,1244,5496,8478
11,8,1244,1663,8478
11,2,1244,321,8478
11,0.5,1244,59,8478
11,0.125,1244,30,8478
11,128,1245,41520,8479
11,32,1245,7067,8479
11,8,1245,2037,8479
11,2,1245,628,8479
11,0.5,1245,162,8479
11,0.125,1245,58,8479
11,128,1246,33683,8480
11,32,1246,6317,8480
11,8,1246,1886,8480
11,2,1246,533,8480
11,0.5,1246,141,8480
11,0.125,1246,46,8480
11,128,1247,27548,8481
11,32,1247,6078,8481
11,8,1247,1916,8481
11,2,1247,479,8481
11,0.5,1247,127,8481
11,0.125,1247,38,8481
11,128,1248,24773,8482
11,32,1248,5532,8482
11,8,1248,1785,8482
11,2,1248,414,8482
11,0.5,1248,91,8482
11,0.125,1248,35,8482
11,128,1249,31466,8483
11,32,1249,7393,8483
11,8,1249,2192,8483
11,2,1249,540,8483
11,0.5,1249,104,8483
11,0.125,1249,58,8483
11,128,1250,79761,8484
11,32,1250,23543,8484
11,8,1250,5983,8484
11,2,1250,1430,8484
11,0.5,1250,251,8484
11,0.125,1250,130,8484
11,128,1251,26586,8485
11,32,1251,6104,8485
11,8,1251,1842,8485
11,2,1251,467,8485
11,0.5,1251,109,8485
11,0.125,1251,42,8485
11,128,1252,65289,8486
11,32,1252,18252,8486
11,8,1252,5331,8486
11,2,1252,1125,8486
11,0.5,1252,202,8486
11,0.125,1252,76,8486
11,128,1253,56291,8487
11,32,1253,16337,8487
11,8,1253,4696,8487
11,2,1253,1012,8487
11,0.5,1253,191,8487
11,0.125,1253,77,8487
11,128,1254,56349,8488
11,32,1254,16085,8488
11,8,1254,4031,8488
11,2,1254,983,8488
11,0.5,1254,167,8488
11,0.125,1254,64,8488
11,128,1255,75226,8489
11,32,1255,22065,8489
11,8,1255,5682,8489
11,2,1255,1260,8489
11,0.5,1255,210,8489
11,0.125,1255,115,8489
11,128,1256,77297,8490
11,32,1256,21883,8490
11,8,1256,6127,8490
11,2,1256,1334,8490
11,0.5,1256,206,8490
11,0.125,1256,108,8490
11,128,1257,34473,8491
11,32,1257,9631,8491
11,8,1257,2556,8491
11,2,1257,617,8491
11,0.5,1257,84,8491
11,0.125,1257,49,8491
11,128,1258,62109,8492
11,32,1258,17873,8492
11,8,1258,5171,8492
11,2,1258,1084,8492
11,0.5,1258,202,8492
11,0.125,1258,93,8492
11,128,1259,59873,8493
11,32,1259,17740,8493
11,8,1259,4898,8493
11,2,1259,1095,8493
11,0.5,1259,186,8493
11,0.125,1259,88,8493
11,128,1260,52147,8494
11,32,1260,15102,8494
11,8,1260,4313,8494
11,2,1260,965,8494
11,0.5,1260,175,8494
11,0.125,1260,82,8494
11,128,1261,32540,8495
11,32,1261,8718,8495
11,8,1261,2770,8495
11,2,1261,563,8495
11,0.5,1261,98,8495
11,0.125,1261,62,8495
11,128,1262,31689,8496
11,32,1262,8733,8496
11,8,1262,2771,8496
11,2,1262,581,8496
11,0.5,1262,98,8496
11,0.125,1262,59,8496
11,128,1263,22641,8497
11,32,1263,6354,8497
11,8,1263,1882,8497
11,2,1263,355,8497
11,0.5,1263,74,8497
11,0.125,1263,49,8497
11,128,1264,30577,8498
11,32,1264,9001,8498
11,8,1264,2613,8498
11,2,1264,574,8498
11,0.5,1264,95,8498
11,0.125,1264,44,8498
11,128,1265,65296,8499
11,32,1265,14503,8499
11,8,1265,4356,8499
11,2,1265,1062,8499
11,0.5,1265,275,8499
11,0.125,1265,108,8499
11,128,1266,74049,8500
11,32,1266,16792,8500
11,8,1266,4783,8500
11,2,1266,1155,8500
11,0.5,1266,286,8500
11,0.125,1266,115,8500
11,128,1267,73001,8501
11,32,1267,16817,8501
11,8,1267,5109,8501
11,2,1267,1261,8501
11,0.5,1267,291,8501
11,0.125,1267,113,8501
11,128,1268,30996,8502
11,32,1268,7314,8502
11,8,1268,2132,8502
11,2,1268,536,8502
11,0.5,1268,116,8502
11,0.125,1268,64,8502
11,128,1269,38840,8503
11,32,1269,8858,8503
11,8,1269,2749,8503
11,2,1269,607,8503
11,0.5,1269,138,8503
11,0.125,1269,64,8503
11,128,1270,25812,8504
11,32,1270,5579,8504
11,8,1270,1894,8504
11,2,1270,396,8504
11,0.5,1270,99,8504
11,0.125,1270,34,8504
11,128,1271,29232,8505
11,32,1271,5260,8505
11,8,1271,1668,8505
11,2,1271,423,8505
11,0.5,1271,113,8505
11,0.125,1271,43,8505
11,128,1272,33600,8506
11,32,1272,7444,8506
11,8,1272,2258,8506
11,2,1272,589,8506
11,0.5,1272,124,8506
11,0.125,1272,52,8506
11,128,1273,33942,8507
11,32,1273,7555,8507
11,8,1273,2254,8507
11,2,1273,550,8507
11,0.5,1273,130,8507
11,0.125,1273,59,8507
11,128,1274,26213,8508
11,32,1274,5948,8508
11,8,1274,1861,8508
11,2,1274,441,8508
11,0.5,1274,94,8508
11,0.125,1274,52,8508
11,128,1275,42174,8509
11,32,1275,9292,8509
11,8,1275,2751,8509
11,2,1275,645,8509
11,0.5,1275,159,8509
11,0.125,1275,63,8509
11,128,1276,22070,8510
11,32,1276,4658,8510
11,8,1276,1493,8510
11,2,1276,363,8510
11,0.5,1276,92,8510
11,0.125,1276,37,8510
11,128,1277,36169,8511
11,32,1277,8478,8511
11,8,1277,2599,8511
11,2,1277,661,8511
11,0.5,1277,122,8511
11,0.125,1277,59,8511
11,128,1278,24274,8512
11,32,1278,5275,8512
11,8,1278,1636,8512
11,2,1278,417,8512
11,0.5,1278,108,8512
11,0.125,1278,35,8512
13,128,1,49913,8513
13,32,1,12626,8513
13,8,1,3136,8513
13,2,1,775,8513
13,0.5,1,155,8513
13,0.125,1,93,8513
13,128,2,49738,8514
13,32,2,12703,8514
13,8,2,3178,8514
13,2,2,844,8514
13,0.5,2,152,8514
13,0.125,2,101,8514
13,128,3,45910,8515
13,32,3,12024,8515
13,8,3,2870,8515
13,2,3,797,8515
13,0.5,3,147,8515
13,0.125,3,83,8515
13,128,4,46223,8516
13,32,4,11995,8516
13,8,4,3081,8516
13,2,4,783,8516
13,0.5,4,146,8516
13,0.125,4,98,8516
13,128,5,49038,8517
13,32,5,12898,8517
13,8,5,3135,8517
13,2,5,901,8517
13,0.5,5,151,8517
13,0.125,5,88,8517
13,128,6,54215,8518
13,32,6,13984,8518
13,8,6,3479,8518
13,2,6,882,8518
13,0.5,6,160,8518
13,0.125,6,99,8518
13,128,7,47298,8519
13,32,7,12343,8519
13,8,7,2942,8519
13,2,7,826,8519
13,0.5,7,143,8519
13,0.125,7,92,8519
13,128,8,47472,8520
13,32,8,12501,8520
13,8,8,3116,8520
13,2,8,822,8520
13,0.5,8,148,8520
